CD8DP,CD8SP,CD8DN
45277.73331,11991.75604,982.4715864
28935.19909,5439.112766,522.4911417
6729.122595,9590.007051,1045.633122
29953.02589,4304.806736,778.678328
19341.77871,12559.12802,1429.086862
21538.83684,5182.713696,639.5689242
12803.56346,10136.41027,1430.805892
15792.63411,9255.404323,1533.226581
15600.99232,5533.770807,420.134443
8576.790083,2321.461865,849.2664632
15625.00319,7173.642837,953.2814044
7568.228269,10287.3402,853.604777
9735.724493,12140.97377,181.1484814
8154.213579,2879.964678,758.624842
7518.479833,5521.854411,1406.074241
3410.886831,2632.684498,834.2168964
2663.280105,4992.148347,1796.212221
5017.215937,3230.037711,614.8548942
8844.917638,7147.448775,1992.76818
19624.46952,8561.803047,2594.971176
8119.735078,6452.968365,1870.860596
3119.306465,4248.503414,2188.319619
11330.54259,6974.182306,1287.880305
41703.06434,2594.910812,501.3351647
4562.51187,6590.294923,923.7233079
3434.618231,1136.204517,238.0428477
4043.87102,1754.355985,422.4939872
7435.799924,5908.608715,790.616681
5164.50086,4635.01417,850.3877145
1906.305009,1886.301808,5756.921107
1638.196584,3080.369644,2308.276993
964.964965,3283.283283,2072.072072
10321.56015,4440.973891,5678.359763
949.5953201,3485.856238,1891.177178
3950.923684,3264.415668,3634.68967
