T,P,E,N
92.85398621,0.026515821,1.43185434,5.687643627
91.96070292,0.027674,2.296942023,5.714681057
19.7005988,0.05988024,0.718562874,79.52095808
91.22948074,0.10720268,0.24120603,8.422110553
91.55440415,0.155440415,1.202072539,7.088082902
92.08787117,0.018616774,1.433491576,6.460020478
60.73541167,0.383693046,0.479616307,38.40127898
67.73130545,0.646387833,0.354879594,31.26742712
86.03488074,0.320595024,0.384714029,13.25981021
83.34890238,0.537132181,1.844932275,14.26903316
68.54652653,0.166623943,1.448346578,29.83850295
46.83611332,0.503044745,1.93275086,50.72809108
96.03059748,0.020673971,0.496175315,3.452553235
9.598818607,0,0.073837066,90.32734433
78.25273845,0.641196901,0.694629976,20.41143468
29.09090909,0,0.762463343,70.14662757
30.7518797,0.45112782,0.676691729,68.12030075
66.17647059,3.921568627,3.921568627,25.98039216
29.20735862,0.136270725,4.201680672,66.45468998
24.08937863,1.040710132,5.285174982,69.58473625
39.10793494,1.034992607,0.837851158,59.01922129
65.91784339,0.256739409,0.513478819,33.31193838
43.13240233,0.265158211,2.103588474,54.49885098
7.482208117,0.192344682,85.48759377,6.837853433
3.557312253,0.570926658,4.04040404,91.83135705
5.765870705,5.59114735,15.37565521,73.26732673
26.26865672,9.104477612,2.189054726,62.43781095
18.76177658,60.3230148,2.341857335,18.57335128
10.21359223,1.436893204,2.640776699,85.70873786
2.623294858,0,7.764952781,89.61175236
1.953601954,0,1.587301587,96.45909646
1.452282158,0,1.244813278,97.30290456
0.775945684,0.213385063,0.543161979,98.46750727
4.008438819,0.843881857,0.421940928,94.7257384
0.709219858,0.050658561,0.607902736,98.63221884
