SAMPLE,'CD8A','CD8B','ZNF683','CXCR6','SIRPG','GZMB','KLRC1','CD38','IL7R','EPCAM','CD1C','CD1E','FCER1A'
1,980.04,254.79,72,548,116.53,219.68,24.35,714.49,2624,1215,52,27.67,45
2,2354.92,644.3,334,803,607.66,953.44,128.62,1739.33,1184,170,57,17,1
3,4520.12,869.33,270,1755,941.31,2739.91,79.02,3697.49,854,86,7,4,2
4,1254.14,315.73,183,325,228.85,648.38,38.3,848.09,1262,416,75,79.2,28
5,1074,193.54,138,349,167.69,507.01,50.4,366.24,1932,910,39,30.13,105
6,513.93,115.95,98,174,107.81,518.18,32.88,294.56,3485,7745,11,18.18,5
7,609.33,106.27,169,174,120.17,302.64,31.85,499.88,1046,3312,89,132.94,12
8,1501.57,271.83,421,560.49,457.15,539.44,105.59,1722.65,1591,1455,68,75.53,43
9,740.03,175.8,119,188,165.89,88.4,19.77,547.11,1583,3103,224,185.06,124
10,1141.04,263.92,70,417,366.97,522.6,32.88,1412.18,2206,2236,52,116.62,22
11,338.08,85.25,94,124,54.99,139.85,34.16,700.47,2194,2560,177,97.69,162
12,821.93,173.8,89,314,133.13,330.25,22.24,400.78,2808,3817,66,37,236
13,331.07,76.07,21,171,170.04,199.87,28.11,257.62,2605,3298,245,285.03,264
14,142.4,40.05,28,47,29.83,62.6,2.58,671.74,305,6741,21,11,46
15,352.01,63.43,52,178.65,139.54,182.38,15.15,286.6,1809,3254,110,126.43,702
16,505.62,110.45,156,154,123.58,60.79,22,559.03,996,3953,44,43.36,26
17,197.29,37.94,42,72,49.06,19.25,5,256.14,541,3933,318,304.52,57
18,646.51,258.96,40,306,241.89,175.58,23,1045.07,1728,5862,126,74.81,192
19,559.01,132.62,238,100,114.02,117.62,16.48,355.41,713,2361,133,144.48,43
